key_row,regionname,regiontype,location
united_states,United States,country,US
alabama,Alabama,state,AL
alaska,Alaska,state,AK
arizona,Arizona,state,AZ
arkansas,Arkansas,state,AR
california,California,state,CA
colorado,Colorado,state,CO
connecticut,Connecticut,state,CT
delaware,Delaware,state,DE
florida,Florida,state,FL
georgia,Georgia,state,GA
hawaii,Hawaii,state,HI
idaho,Idaho,state,ID
illinois,Illinois,state,IL
indiana,Indiana,state,IN
iowa,Iowa,state,IA
kansas,Kansas,state,KS
kentucky,Kentucky,state,KY
louisiana,Louisiana,state,LA
maine,Maine,state,ME
maryland,Maryland,state,MD
massachusetts,Massachusetts,state,MA
michigan,Michigan,state,MI
minnesota,Minnesota,state,MN
mississippi,Mississippi,state,MS
missouri,Missouri,state,MO
montana,Montana,state,MT
nebraska,Nebraska,state,NE
nevada,Nevada,state,NV
new_hampshire,New Hampshire,state,NH
new_jersey,New Jersey,state,NJ
new_mexico,New Mexico,state,NM
new_york,New York,state,NY
north_carolina,North Carolina,state,NC
north_dakota,North Dakota,state,ND
ohio,Ohio,state,OH
oklahoma,Oklahoma,state,OK
oregon,Oregon,state,OR
pennsylvania,Pennsylvania,state,PA
rhode_island,Rhode Island,state,RI
south_carolina,South Carolina,state,SC
south_dakota,South Dakota,state,SD
tennessee,Tennessee,state,TN
texas,Texas,state,TX
utah,Utah,state,UT
vermont,Vermont,state,VT
virginia,Virginia,state,VA
washington,Washington,state,WA
west_virginia,West Virginia,state,WV
wisconsin,Wisconsin,state,WI
wyoming,Wyoming,state,WY
new_york_ny,"New York, NY",metro,NY
los_angeles_ca,"Los Angeles, CA",metro,CA
chicago_il,"Chicago, IL",metro,IL
dallas_tx,"Dallas, TX",metro,TX
houston_tx,"Houston, TX",metro,TX
philadelphia_pa,"Philadelphia, PA",metro,PA
washington_dc,"Washington, DC",metro,DC
miami_fl,"Miami, FL",metro,FL
atlanta_ga,"Atlanta, GA",metro,GA
boston_ma,"Boston, MA",metro,MA
san_francisco_ca,"San Francisco, CA",metro,CA
detroit_mi,"Detroit, MI",metro,MI
phoenix_az,"Phoenix, AZ",metro,AZ
seattle_wa,"Seattle, WA",metro,WA
minneapolis_mn,"Minneapolis, MN",metro,MN
riverside_ca,"Riverside, CA",metro,CA
tampa_fl,"Tampa, FL",metro,FL
san_diego_ca,"San Diego, CA",metro,CA
st_louis_mo,"St. Louis, MO",metro,MO
denver_co,"Denver, CO",metro,CO
baltimore_md,"Baltimore, MD",metro,MD
pittsburgh_pa,"Pittsburgh, PA",metro,PA
portland_or,"Portland, OR",metro,OR
charlotte_nc,"Charlotte, NC",metro,NC
orlando_fl,"Orlando, FL",metro,FL
cleveland_oh,"Cleveland, OH",metro,OH
san_antonio_tx,"San Antonio, TX",metro,TX
cincinnati_oh,"Cincinnati, OH",metro,OH
sacramento_ca,"Sacramento, CA",metro,CA
kansas_city_mo,"Kansas City, MO",metro,MO
columbus_oh,"Columbus, OH",metro,OH
indianapolis_in,"Indianapolis, IN",metro,IN
las_vegas_nv,"Las Vegas, NV",metro,NV
austin_tx,"Austin, TX",metro,TX
nashville_tn,"Nashville, TN",metro,TN
san_jose_ca,"San Jose, CA",metro,CA
virginia_beach_va,"Virginia Beach, VA",metro,VA
milwaukee_wi,"Milwaukee, WI",metro,WI
providence_ri,"Providence, RI",metro,RI
jacksonville_fl,"Jacksonville, FL",metro,FL
oklahoma_city_ok,"Oklahoma City, OK",metro,OK
louisville_ky,"Louisville, KY",metro,KY
memphis_tn,"Memphis, TN",metro,TN
new_orleans_la,"New Orleans, LA",metro,LA
richmond_va,"Richmond, VA",metro,VA
raleigh_nc,"Raleigh, NC",metro,NC
buffalo_ny,"Buffalo, NY",metro,NY
hartford_ct,"Hartford, CT",metro,CT
birmingham_al,"Birmingham, AL",metro,AL
rochester_ny,"Rochester, NY",metro,NY
tucson_az,"Tucson, AZ",metro,AZ
salt_lake_city_ut,"Salt Lake City, UT",metro,UT
grand_rapids_mi,"Grand Rapids, MI",metro,MI
tulsa_ok,"Tulsa, OK",metro,OK
albany_ny,"Albany, NY",metro,NY
albuquerque_nm,"Albuquerque, NM",metro,NM
omaha_ne,"Omaha, NE",metro,NE
worcester_ma,"Worcester, MA",metro,MA
knoxville_tn,"Knoxville, TN",metro,TN
bridgeport_ct,"Bridgeport, CT",metro,CT
greenville_sc,"Greenville, SC",metro,SC
north_port_fl,"North Port, FL",metro,FL
new_haven_ct,"New Haven, CT",metro,CT
dayton_oh,"Dayton, OH",metro,OH
honolulu_hi,"Urban Honolulu, HI",metro,HI
allentown_pa,"Allentown, PA",metro,PA
columbia_sc,"Columbia, SC",metro,SC
